video_id,video_title,channel_title,view_count,like_count,total_comments,duration_minutes,comments_collected,total_comment_likes,avg_comment_likes,published_at
-WqjVTgabyk,"Trump threatens Russia, accuses Ukraine of trying to back out of minerals deal",Fox News,308593,4215,2537,8.033333333333333,111,2463.0,22.18918918918919,2025-03-31 10:15:00
-ZGWKThd8u0,Update from Ukraine | Crazy! Trump Begs Putin to Stop | Ukraine Strikes Rus Airbase,Denys Davydov,181782,22295,1879,19.8,136,5571.0,40.963235294117645,2025-04-25 10:02:39
-_PkcdXAtDo,Mass &quot;suicide&quot; of Russians on motorcycles in Ukrainian steppes – Invaders to step up such attacks,Kanal13,203162,3320,156,9.966666666666667,25,545.0,21.8,2025-05-01 00:00:06
-qUyy67APF0,Russia-Ukraine War: Russia Unleashes Spring Offensive On Ukraine | GRAVITAS Live | World News | WION,WION,59685,744,49,54.0,1,10.0,10.0,2025-04-11 16:28:16
0OgAC650YXo,Ukraine’s future after the war: What is the “Coalition of the Willing” planning?,Global News,7733,85,148,2.1333333333333333,14,213.0,15.214285714285714,2025-03-21 02:15:00
0WQ6qUb8YcI,Russia&#39;s About to Get HIT HARD – Neighbors Mobilize for WAR!,The Military Show,274780,6054,981,17.033333333333335,88,2636.0,29.954545454545453,2025-03-23 18:00:00
1UuMyWZiXwU,Russian quad bike bloodbath as Ukraine repels hopeless attack,The Sun,80128,2011,85,8.85,16,271.0,16.9375,2025-04-27 10:00:03
2JsB0wgCsEo,Russia-Ukraine War: Putin Breaches Own &#39;Easter&#39; Truce As Zelenskyy Reports Continued Attacks? Watch,TIMES NOW,37793,221,79,3.6,12,109.0,9.083333333333334,2025-04-20 07:13:16
2NFnk4vFtb0,"Ukraine may have to give up land for peace, says Kyiv Mayor Klitschko | BBC News",BBC News,298249,3334,3269,10.283333333333333,131,3692.0,28.18320610687023,2025-04-25 12:40:09
2RTrgtSG08M,SHOCK MOMENT: Trump Appears To Accuse Zelensky Of Starting Russia-Ukraine War—Which Putin Started,Forbes Breaking News,75392,455,1047,1.6166666666666667,96,2041.0,21.260416666666668,2025-04-14 17:07:36
2Stb9jA3Qps,Ukraine: The impact and implications of Russia&#39;s missile strike on Sumy | Analysis,Sky News,166316,2490,764,3.05,142,4627.0,32.58450704225352,2025-04-14 17:19:56
2T3AbEi5Di8,Russia makes military advances as world awaits ceasefire decision | Ukraine War,Sky News,311440,2282,1470,2.8833333333333333,141,6152.0,43.63120567375886,2025-03-12 22:03:03
2WYRO1-esMs,Ukraine hits Moscow in huge drone strike on Russia after Putin rejects ceasefire,The Sun,577158,13386,1817,15.116666666666667,133,7641.0,57.45112781954887,2025-03-14 17:22:10
